Count,Internal Id,Short Name,Description,Platform,In Production,Execution pattern,Burstiness,Trigger types,Workflow Coordination,Is Latency Relevant?,Number of Distinct Functions,Data Volume (per workflow execution),Workflow Structure,Workflow Size,Cost/Performance Tradeoff,Function Runtime,Resource Bounds,Locality Requirements,Workflow Internal Parallelism,Programming Languages,Function Upgrade Frequency,Usage of External Services,Domain,Application Type,Motivation,Open Source,Source
1,1,StreamAlert,"StreamAlert - Serverless, Realtime Data Analysis Framework (AirBnB)",AWS,Yes,High-volume On-demand,Unknown,Cloud event,Event,For complete use case,Unknown,> 1 GB,Chain,Small (2-10),Performance-focused,"Short (ms, s)",Unknown,Not applicable,No,Python,Unknown,"Cloud Streaming, Cloud Pub/Sub, Cloud Storage, Cloud Logging/Monitoring",Other: real-time monitoring data analysis,Operations & Monitoring,NoOps,https://github.com/airbnb/streamalert,GitHub
2,3,Formplug,"Formplug is a form forwarding service for AWS Lambda, use it to accept form submissions by email without server-side code",AWS,Yes,On-demand,Yes,HTTP request,Event,Not important,1,< 1 MB,Chain,Small (2-10),Cost-focused,"Short (ms, s)",Unknown,None,No,JavaScript,Unknown,-,WebServices,API,NoOps,https://github.com/danielireson/formplug-serverless,GitHub
3,5,Icebird,automate deployment process of game servers,Azure,Yes,Scheduled,No,Scheduled,Not applicable,For complete use case,4,< 1 MB,Not applicable,Not applicable,Undefined,"Short (ms, s)",Unknown,None,Not applicable,C#,Unknown,Cloud Database,Entertainment,Operations & Monitoring,NoOps,https://github.com/Annonator/FuncyAutoScale,Grey Literature
4,6,NetApp,data management tasks for cloud storage solutions -- E.g. automate the task of finding unutilized volumes (any volume in an available state) and deleting them,AWS,Yes,Scheduled,No,Scheduled,Not applicable,Not important,1,< 1 MB,Not applicable,Not applicable,Cost-focused,"Short (ms, s)",Unknown,None,Not applicable,Python,Rarely,-,Cross-Domain,Operations & Monitoring,NoOps,https://drive.google.com/file/d/0B_i6vDoecuJ9U3BVTV9OVHVIMkU/view,Grey Literature
5,7,The CocaCola Company,POS payment process of vending machines (workflows),AWS,Yes,High-volume On-demand,Yes,HTTP request,Workflow engine,For parts of use case,1,< 1 MB,Loops/Conditional branches,Small (2-10),Cost-focused,"Short (ms, s)",External Service,Multi-region,No,Unknown,Unknown," Cloud API Gateway, Cloud Database, Cloud Storage, Cloud Pub/Sub",IoT,API,Cost,No,Grey Literature
6,8,Aegex Technologies,"monitoring IoT devices, triggering database manipulations on specific rules.",Azure,Yes,High-volume On-demand,Yes,Cloud event,Not applicable,For parts of use case,2,< 1 MB,Not applicable,Not applicable,Cost-focused,"Short (ms, s)",Unknown,Multi-region,Not applicable,C#,Unknown,Cloud Database,IoT,Stream/async Processing,"NoOps, Scalability, Cost",https://github.com/aegexdev/ThePiFilesAF,Grey Literature
7,10,NASA Cumulus,Nasa Cumulus,AWS,Yes,Scheduled,Unknown,Scheduled,Workflow engine,For parts of use case,Unknown,> 1 GB,Unknown,Medium (10-1000),Performance-focused,Long (min+),Hybrid,Specific region,High,Unknown,Unknown,Cloud Storage,Scientific computing,Stream/async Processing,"Cost, Scalability",No,White Literature
8,11,HoneyLambda,serverless application designed to create and monitor fake HTTP endpoints,AWS,Unknown,On-demand,Yes,HTTP request,Not applicable,Not important,1,< 1 MB,Not applicable,Not applicable,Cost-focused,"Short (ms, s)",Unknown,None,Not applicable,Python,Unknown,"Cloud Storage, Cloud API Gateway",Other: Security,API,-,https://github.com/0x4D31/honeyLambda,GitHub
9,12,The Guardian,System integration/ETL workflows. The main one desribed in the post is about subscriber onboarding.,AWS,Yes,Scheduled,Yes,Scheduled,Workflow engine,Not important,7,< 10 MB,Chain,Small (2-10),Undefined,Unknown,Unknown,None,Low,JavaScript,Unknown,Cloud Storage,Entertainment,Stream/async Processing,Simplify Development,https://github.com/guardian/fulfilment-lambdas,Grey Literature
10,13,Mynt,"An Azure Functions-based crypto currency trading bot; featuring 10 exchanges, 25 indicators, custom strategy support, backtester and more.",Azure,Unknown,Scheduled,No,Scheduled,Not applicable,For complete use case,3,Unknown,Not applicable,Not applicable,Undefined,"Short (ms, s)",Unknown,Unknown,Not applicable,C#,Unknown,Cloud Database,FinTec,Stream/async Processing,-,https://github.com/sthewissen/Mynt,GitHub
