Short Name,Platform,In Production,Execution pattern,Burstiness,Trigger types,Workflow Coordination,Is Latency Relevant?,Number of Distinct Functions,Data Volume (per execution),Workflow Structure,Workflow Size,Cost/Performance Tradeoff,Function Runtime,Resource Bounds,Locality Requirements,Workflow Internal Parallelism,Programming Languages,Function Upgrade Frequency,Usage of External Services,Domain,Application Type,Motivation,Open Source
StreamAlert,AWS,Yes,[Reviewer 7] High-volume on-demand | [Reviewer 5] On-demand,[Reviewer 7] Unknown | [Reviewer 5] Yes,"[Reviewer 7] Cloud event, HTTP | [Reviewer 5] Cloud event",[Reviewer 7] Event | [Reviewer 5] Not applicable,[Reviewer 7] Unknown | [Reviewer 5] For complete use case,[Reviewer 7] User-provided (2+ minimal) | [Reviewer 5] ~ 30,> 1 GB,[Reviewer 7] Chain | [Reviewer 5] Not applicable,[Reviewer 7] Small (2-10) | [Reviewer 5] Not applicable,[Reviewer 7] Undefined | [Reviewer 5] Performance-focused,"Short (ms, s)",Unknown,[Reviewer 7] Global | [Reviewer 5] Not applicable,[Reviewer 7] No | [Reviewer 5] High,Python,[Reviewer 7] Unknown | [Reviewer 5] Rarely,"[Reviewer 7] AWS Kinesis, AWS SNS, AWS S3, AWS Cloudwatch | [Reviewer 5] AWS S3, AWS Kinesis, AWS SNS",[Reviewer 7] Other: real-time monitoring data analysis  | [Reviewer 5] Cross-Domain,[Reviewer 7] Operations | [Reviewer 5] Monitoring,"[Reviewer 7] Minimal Ops, leverage AWS services | [Reviewer 5] nan",https://github.com/airbnb/streamalert
Formplug,AWS,[Reviewer 1] Yes | [Reviewer 5] Unknown,On-demand,Yes,HTTP request,[Reviewer 1] Unknown | [Reviewer 5] Event,Not important,[Reviewer 1] 1 | [Reviewer 5] ~10,< 1 MB,[Reviewer 1] Chain | [Reviewer 5] Unknown,Small (2-10),Cost-focused,"Short (ms, s)",[Reviewer 1] I/O | [Reviewer 5] Unknown,[Reviewer 1] None | [Reviewer 5] Not applicable,No,JavaScript,[Reviewer 1] Unknown | [Reviewer 5] Rarely,[Reviewer 1] None | [Reviewer 5] AWS SES,[Reviewer 1] WebServices | [Reviewer 5] Cross-Domain,[Reviewer 1] Other: Dev | [Reviewer 5] Operations,[Reviewer 1] NoOps | [Reviewer 5] nan,[Reviewer 1] Yes | [Reviewer 5] https://github.com/danielireson/formplug-serverless
Icebird,Azure,Yes,Scheduled,No,Scheduled,[Reviewer 4] Not applicable | [Reviewer 3] Event,For complete use case,[Reviewer 4] 1 | [Reviewer 3] 4,< 1 MB,[Reviewer 4] Not applicable | [Reviewer 3] Chain,[Reviewer 4] Not applicable | [Reviewer 3] Small (2-10),[Reviewer 4] Performance-focused | [Reviewer 3] Undefined,"Short (ms, s)",Unknown,None,[Reviewer 4] Not applicable | [Reviewer 3] No,C#,[Reviewer 4] Unknown | [Reviewer 3] Rarely,"[Reviewer 4] None | [Reviewer 3] Database, VM Management API",Entertainment,Operations,NoOps,https://github.com/Annonator/FuncyAutoScale
NetApp ,AWS,Yes,Scheduled,No,Scheduled,Not applicable,Not important,1,< 1 MB,Not applicable,Not applicable,Cost-focused,"Short (ms, s)",Unknown,[Reviewer 3] None | [Reviewer 5] Unknown,Not applicable,Python,Rarely,[Reviewer 3] EBS Disk Management | [Reviewer 5] nan,[Reviewer 3] WebServices | [Reviewer 5] Cross-Domain,[Reviewer 3] Operations | [Reviewer 5] Side-task,[Reviewer 3] NoOps | [Reviewer 5] nan,[Reviewer 3] https://drive.google.com/file/d/0B_i6vDoecuJ9U3BVTV9OVHVIMkU/view | [Reviewer 5] https://cloud.netapp.com/blog/automate-ebs-volumes-cost-efficiency
The CocaCola Company,AWS,Yes,High-volume on-demand,Yes,[Reviewer 1] Cloud event | [Reviewer 3] HTTP request,Workflow engine,[Reviewer 1] For parts of use case | [Reviewer 3] For complete use case,[Reviewer 1] 4 | [Reviewer 3] 1,[Reviewer 1] < 1 MB | [Reviewer 3] Unknown,[Reviewer 1] Chain | [Reviewer 3] Loops/Conditional branches,Small (2-10),[Reviewer 1] Performance-focused | [Reviewer 3] Cost-focused,"Short (ms, s)",[Reviewer 1] External Service | [Reviewer 3] Unknown,[Reviewer 1] Global | [Reviewer 3] Unknown,No,Unknown,[Reviewer 1] Unknown | [Reviewer 3] Rarely,"[Reviewer 1] Apple Pay, Android Pay, Amazon SNS | [Reviewer 3] API Gateway, Database, Storage, Queues",[Reviewer 1] WebServices | [Reviewer 3] IoT,[Reviewer 1] Business-critical workloads | [Reviewer 3] Side-task,[Reviewer 1] NoOps | [Reviewer 3] Saving operational cost,No
Aegex Technologies,IBM,Yes,On-demand,Yes,[Reviewer 4] Cloud event | [Reviewer 5] Scheduled,Event,Not important,5,< 10 MB,[Reviewer 4] Chain | [Reviewer 5] Pipeline,Small (2-10),Cost-focused,"Short (ms, s)",Unknown,[Reviewer 4] None | [Reviewer 5] Regional,[Reviewer 4] No | [Reviewer 5] Low,[Reviewer 4] JavaScript | [Reviewer 5] JavaScript (with C-Library),[Reviewer 4] Unknown | [Reviewer 5] Rarely,[Reviewer 4] Database | [Reviewer 5] Storage,FinTec,Business-critical workloads,[Reviewer 4] Cost | [Reviewer 5] nan,[Reviewer 4] No | [Reviewer 5] https://github.com/IBM/ibm-cloud-functions-serverless-ocr-openchecks
NASA Cumulus,AWS,[Reviewer 1] Unknown | [Reviewer 5] Yes,[Reviewer 1] Scheduled | [Reviewer 5] High-volume on-demand,[Reviewer 1] Unknown | [Reviewer 5] Yes,[Reviewer 1] Scheduled | [Reviewer 5] Cloud event,Workflow engine,[Reviewer 1] For parts of use case | [Reviewer 5] Unknown,[Reviewer 1] many | [Reviewer 5] Unkown,> 1 GB,Unknown,Medium (10-1000),Performance-focused,Long (min+),[Reviewer 1] Hybrid | [Reviewer 5] Unknown,[Reviewer 1] Regional | [Reviewer 5] Unknown,High,Unknown,Unknown,Cloud Storage,Scientific computing,Scientifc Workload,"[Reviewer 1] NoOps | [Reviewer 5] Cost, Scalability
",No
HoneyLambda,[Reviewer 4] AWS | [Reviewer 5] Unknown,Unknown,On-demand,[Reviewer 4] Unknown | [Reviewer 5] Yes,HTTP request,Not applicable,Not important,1,< 1 MB,Not applicable,Not applicable,[Reviewer 4] Undefined | [Reviewer 5] Cost-focused,"Short (ms, s)",Unknown,[Reviewer 4] None | [Reviewer 5] Unknown,Not applicable,Python,[Reviewer 4] Unknown | [Reviewer 5] Rarely,[Reviewer 4] Cloud Storage | [Reviewer 5] nan,[Reviewer 4] Other: Security | [Reviewer 5] Cross-Domain,[Reviewer 4] Side-task | [Reviewer 5] Monitoring,[Reviewer 4] NoOps | [Reviewer 5] nan,https://github.com/0x4D31/honeyLambda
The Guardian,AWS,Yes,[Reviewer 4] Scheduled | [Reviewer 7] On-demand,Yes,[Reviewer 4] Scheduled | [Reviewer 7] Cloud event,Workflow engine,[Reviewer 4] Not important | [Reviewer 7] For complete use case,[Reviewer 4] 7 | [Reviewer 7] 2,[Reviewer 4] < 10 MB | [Reviewer 7] Unknown,Chain,Small (2-10),[Reviewer 4] Undefined | [Reviewer 7] Unknown,Unknown,Unknown,[Reviewer 4] None | [Reviewer 7] Global,[Reviewer 4] No | [Reviewer 7] Low,[Reviewer 4] JavaScript | [Reviewer 7] Unknown,Unknown,[Reviewer 4] Cloud Storage | [Reviewer 7] AWS S3,[Reviewer 4] Other | [Reviewer 7] Entertainment,[Reviewer 4] Side-task | [Reviewer 7] Business-critical workloads,"[Reviewer 4] Simplified Integration of external services | [Reviewer 7] Developer productivity, reliability",[Reviewer 4] https://github.com/guardian/ | [Reviewer 7] No
Mynt,Azure,Unknown,Scheduled,No,Scheduled,Not applicable,[Reviewer 7] Real-time | [Reviewer 3] For complete use case,[Reviewer 7] 2 | [Reviewer 3] 3,Unknown,Not applicable,Not applicable,[Reviewer 7] Undefined | [Reviewer 3] Performance-focused,"Short (ms, s)",Unknown,Unknown,Not applicable,C#,Unknown,"[Reviewer 7] nan | [Reviewer 3] Database, Financial APIs",FinTec,[Reviewer 7] Business-critical workloads | [Reviewer 3] Side-task,[Reviewer 7] - | [Reviewer 3] nan,[Reviewer 7] https://github.com/sthewissen/Mynt | [Reviewer 3] https://github.com/MalconMikami/MachinaTrader
